,date,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
261,2024-06-26,Fair,70,10.0,60,0.0627352572145545
262,2024-06-25,Good,80,66.0,58,0.0983118172790466
263,2024-06-24,Fair,78,38.0,59,0.0383141762452107
264,2024-06-22,Fair,67,54.0,59,0.12
265,2024-06-21,Good,83,55.0,59,0.1061224489795918
266,2024-06-19,Good,80,89.0,60,0.098239110287303
267,2024-06-18,Good,82,51.0,60,0.0889867841409691
268,2024-06-17,Fair,78,65.0,62,0.0958605664488017
269,2024-06-15,Good,82,100.0,62,0.0982658959537572
270,2024-06-14,Good,81,77.0,62,0.0803921568627451
271,2024-06-13,Good,86,85.0,61,0.0913978494623656
272,2024-06-12,Fair,77,49.0,59,0.0744680851063829
273,2024-06-11,Good,81,44.0,61,0.0837537840565085
274,2024-06-10,Fair,74,64.0,61,0.0709677419354838
275,2024-06-08,Fair,77,68.0,60,0.1042281219272369
276,2024-06-04,Fair,77,55.0,60,0.1165158371040724
277,2024-06-03,Good,80,68.0,61,0.1296144380639868
278,2024-06-02,Fair,76,51.0,62,0.1251158480074142
279,2024-06-01,Good,81,71.0,61,0.1020590868397493
280,2024-05-31,Fair,72,80.0,62,0.1084093211752786
281,2024-05-30,Fair,67,76.0,61,0.1248688352570829
282,2024-05-29,Fair,70,47.0,59,0.0990899898887765
283,2024-05-28,Fair,79,77.0,60,0.1006191950464396
284,2024-05-27,Fair,70,66.0,60,0.0906630581867388
285,2024-05-26,Good,80,88.0,60,0.0829909613804437
286,2024-05-25,Fair,69,62.0,60,0.1043010752688172
287,2024-05-23,Fair,77,72.0,61,0.0942507068803016
288,2024-05-22,Fair,73,96.0,60,0.1210067763794772
289,2024-05-21,Good,86,99.0,62,0.1083333333333333
290,2024-05-20,Fair,69,32.0,63,0.081225033288948
291,2024-05-18,Good,84,91.0,63,0.0972088546679499
292,2024-05-17,Fair,73,58.0,63,0.0895522388059701
293,2024-05-16,Good,81,50.0,62,0.0882061446977205
294,2024-05-15,Fair,77,57.0,62,0.0786397449521785
295,2024-05-14,Good,89,103.0,63,0.1125343092406221
296,2024-05-12,Good,84,73.0,64,0.0834181078331637
297,2024-05-11,Good,86,166.0,64,0.0825057295645531
298,2024-05-10,Fair,67,81.0,62,0.0544217687074829
299,2024-05-09,Poor,54,27.0,60,0.1210855949895615
300,2024-05-08,Fair,73,92.0,62,0.0789766407119021
301,2024-05-07,Fair,65,77.0,63,0.0995184590690208
302,2024-05-03,Fair,68,58.0,63,0.1061130334486736
303,2024-05-02,Fair,65,51.0,62,0.0948905109489051
304,2024-05-01,Good,81,51.0,63,0.0692225772097976
305,2024-04-30,Fair,68,70.0,65,0.1235955056179775
